MyPaddlePosition	MyPaddleIsRight	MyPaddleIsLeft	MyPaddleIsStill	MyPaddleTimeAsIs	OpponentPaddle	OpponentVelocity	BallPositionX	BallPositionY	BallVelocityX	BallVelocityY	
"-1"	"0"	"0"	"1"	"3.323925"	"-2"	"0"	"0"	"0.6"	"0"	"3"	
"-0.7600001"	"1"	"0"	"0"	"0"	"-2"	"0"	"0"	"0.78"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0"	"-2"	"0"	"0"	"0.78"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.009471893"	"-2"	"0"	"0"	"0.84"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.02190971"	"-2"	"0"	"0"	"0.84"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.03203392"	"-2"	"0"	"0"	"0.9"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.0423069"	"-2"	"0"	"0"	"0.9"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.05641651"	"-2"	"0"	"0"	"0.96"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.06603241"	"-2"	"0"	"0"	"0.96"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.07612133"	"-2"	"0"	"0"	"1.02"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.08502769"	"-2"	"0"	"0"	"1.02"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.09433556"	"-2"	"0"	"0"	"1.08"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.1046381"	"-2"	"0"	"0"	"1.08"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.1143255"	"-2"	"0"	"0"	"1.14"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.1270761"	"-2"	"0"	"0"	"1.14"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.1369982"	"-2"	"0"	"0"	"1.2"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.1502876"	"-2"	"0"	"0"	"1.26"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.1596851"	"-2"	"0"	"0"	"1.26"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.1695175"	"-2"	"0"	"0"	"1.32"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.1792173"	"-2"	"0"	"0"	"1.32"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.1923885"	"-2"	"0"	"0"	"1.38"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.2014866"	"-2"	"0"	"0"	"1.38"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.2147322"	"-2"	"0"	"0"	"1.44"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.2293549"	"-2"	"0"	"0"	"1.5"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.2409916"	"-2"	"0"	"0"	"1.5"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.2505007"	"-2"	"0"	"0"	"1.559999"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.2610531"	"-2"	"0"	"0"	"1.559999"	"0"	"3"	
"-0.7600001"	"0"	"0"	"1"	"0.2707367"	"-2"	"0"	"0"	"1.619999"	"0"	"3"	
