MyPaddlePosition	MyPaddleIsRight	MyPaddleIsLeft	MyPaddleIsStill	MyPaddleTimeAsIs	OpponentPaddle	OpponentVelocity	BallPositionX	BallPositionY	BallVelocityX	BallVelocityY	
"1"	"0"	"0"	"0"	"1.235302"	"0"	"0"	"0"	"-0.24"	"0"	"-3"	
"1"	"0"	"0"	"0"	"1.252881"	"0"	"0"	"0"	"-0.3"	"0"	"-3"	
"1"	"0"	"0"	"0"	"1.274956"	"0"	"0"	"0"	"-0.36"	"0"	"-3"	
"1"	"0"	"0"	"0"	"1.297222"	"0"	"0"	"0"	"-0.42"	"0"	"-3"	
"1"	"0"	"0"	"0"	"1.318964"	"0"	"0"	"0"	"-0.48"	"0"	"-3"	
"1"	"0"	"0"	"0"	"1.340755"	"0"	"0"	"0"	"-0.54"	"0"	"-3"	
"1"	"0"	"0"	"0"	"1.362709"	"0"	"0"	"0"	"-0.6"	"0"	"-3"	
"1"	"0"	"0"	"0"	"1.384878"	"0"	"0"	"0"	"-0.66"	"0"	"-3"	
"1"	"0"	"0"	"0"	"1.405868"	"0"	"0"	"0"	"-0.72"	"0"	"-3"	
"1"	"0"	"0"	"0"	"1.427733"	"0"	"0"	"0"	"-0.78"	"0"	"-3"	
"1"	"0"	"0"	"0"	"1.449918"	"0"	"0"	"0"	"-0.9"	"0"	"-3"	
"1"	"0"	"0"	"0"	"1.471505"	"0"	"0"	"0"	"-0.96"	"0"	"-3"	
"1"	"0"	"0"	"0"	"1.496423"	"0"	"0"	"0"	"-1.02"	"0"	"-3"	
"0.92"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	"-1.08"	"0"	"-3"	
"0.84"	"0"	"1"	"0"	"0.02152061"	"0"	"0"	"0"	"-1.14"	"0"	"-3"	
"0.7600001"	"0"	"1"	"0"	"0.0435338"	"0"	"0"	"0"	"-1.2"	"0"	"-3"	
"0.6800001"	"0"	"1"	"0"	"0.06554127"	"0"	"0"	"0"	"-1.26"	"0"	"-3"	
"0.6000001"	"0"	"1"	"0"	"0.08753109"	"0"	"0"	"0"	"-1.32"	"0"	"-3"	
"0.5200001"	"0"	"1"	"0"	"0.109149"	"0"	"0"	"0"	"-1.38"	"0"	"-3"	
"0.4400001"	"0"	"1"	"0"	"0.1311178"	"0"	"0"	"0"	"-1.44"	"0"	"-3"	
"0.3600001"	"0"	"1"	"0"	"0.1527162"	"0"	"0"	"0"	"-1.5"	"0"	"-3"	
"0.2000002"	"0"	"1"	"0"	"0.1742816"	"0"	"0"	"0"	"-1.619999"	"0"	"-3"	
"0.1200002"	"0"	"1"	"0"	"0.1956906"	"0"	"0"	"0"	"-1.679999"	"0"	"-3"	
"0.04000016"	"0"	"1"	"0"	"0.217627"	"0"	"0"	"0"	"-1.739999"	"0"	"-3"	
"-0.03999984"	"0"	"1"	"0"	"0.2401485"	"0"	"0"	"0"	"-1.799999"	"0"	"-3"	
"-0.1199998"	"0"	"1"	"0"	"0.2642183"	"0"	"0"	"0"	"-1.859999"	"0"	"-3"	
"-0.1199998"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"-1.919999"	"0"	"-3"	
"-0.1199998"	"0"	"0"	"0"	"0.02099943"	"0"	"3"	"0"	"-1.979999"	"0"	"-3"	
"-0.1199998"	"0"	"0"	"0"	"0.04345703"	"-0.06"	"3"	"0"	"-2.039999"	"0"	"-3"	
"-0.1199998"	"0"	"0"	"0"	"0.06487465"	"-0.12"	"3"	"0"	"-2.099999"	"0"	"-3"	
"-0.1199998"	"0"	"0"	"0"	"0.08638477"	"-0.18"	"3"	"0"	"-2.159999"	"0"	"-3"	
"-0.1199998"	"0"	"0"	"0"	"0.1080923"	"-0.3"	"3"	"0.007999988"	"-2.122694"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.1303964"	"-0.36"	"3"	"0.01599998"	"-2.059694"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.1504326"	"-0.42"	"3"	"0.02399996"	"-1.996694"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.1730108"	"-0.48"	"3"	"0.03199995"	"-1.933694"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.1955204"	"-0.54"	"3"	"0.03999994"	"-1.870694"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.2166586"	"-0.6"	"3"	"0.04799993"	"-1.807694"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.2365646"	"-0.66"	"3"	"0.05599991"	"-1.744694"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.2572885"	"-0.72"	"0"	"0.0639999"	"-1.681695"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.2782726"	"-0.72"	"0"	"0.07199989"	"-1.618695"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.2989001"	"-0.72"	"0"	"0.07999987"	"-1.555695"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.3210654"	"-0.72"	"0"	"0.08799986"	"-1.492695"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.3482518"	"-0.72"	"0"	"0.1039998"	"-1.366695"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.3686929"	"-0.72"	"0"	"0.1119998"	"-1.303695"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.3903837"	"-0.72"	"0"	"0.1199998"	"-1.240695"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.4131327"	"-0.72"	"0"	"0.1279998"	"-1.177695"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.4346395"	"-0.72"	"0"	"0.1359998"	"-1.114695"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.4542027"	"-0.72"	"0"	"0.1439998"	"-1.051695"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.4761796"	"-0.72"	"0"	"0.1519998"	"-0.9886949"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.498013"	"-0.72"	"0"	"0.1599997"	"-0.9256949"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.5191913"	"-0.72"	"0"	"0.1679997"	"-0.862695"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.5409856"	"-0.72"	"0"	"0.1759997"	"-0.799695"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.5630488"	"-0.72"	"0"	"0.1839997"	"-0.7366951"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.5846214"	"-0.72"	"0"	"0.1919997"	"-0.6736951"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.6039667"	"-0.72"	"-3"	"0.1999997"	"-0.6106951"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.6252174"	"-0.66"	"-3"	"0.2079997"	"-0.5476952"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.6469507"	"-0.54"	"-3"	"0.2239996"	"-0.4216952"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.6684856"	"-0.48"	"-3"	"0.2319996"	"-0.3586952"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.6902542"	"-0.42"	"-3"	"0.2399996"	"-0.2956952"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.7120638"	"-0.36"	"-3"	"0.2479996"	"-0.2326952"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.7312098"	"-0.3"	"-3"	"0.2559996"	"-0.1696952"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.7526178"	"-0.2399999"	"-3"	"0.2639996"	"-0.1066952"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.7739658"	"-0.1799999"	"-3"	"0.2719996"	"-0.04369521"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.7953339"	"-0.1199999"	"-3"	"0.2799996"	"0.01930478"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.8169813"	"-0.05999995"	"-3"	"0.2879995"	"0.08230478"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.8385515"	"5.215406E-08"	"-3"	"0.2959995"	"0.1453048"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.8614235"	"0.06000005"	"-3"	"0.3039995"	"0.2083048"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.88309"	"0.06000005"	"0"	"0.3119995"	"0.2713048"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.9042511"	"0.06000005"	"0"	"0.3199995"	"0.3343047"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.9264832"	"0.06000005"	"0"	"0.3359995"	"0.4603047"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.9480276"	"0.06000005"	"0"	"0.3439994"	"0.5233047"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.9700546"	"0.06000005"	"0"	"0.3519994"	"0.5863047"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"0.9917459"	"0.06000005"	"0"	"0.3599994"	"0.6493046"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"1.013787"	"0.06000005"	"0"	"0.3679994"	"0.7123046"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"1.035262"	"0.06000005"	"0"	"0.3759994"	"0.7753046"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"1.056924"	"0.06000005"	"0"	"0.3839994"	"0.8383045"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"1.076774"	"0.12"	"-3"	"0.3919994"	"0.9013045"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"1.098277"	"0.1800001"	"-3"	"0.3999994"	"0.9643044"	"0.3999994"	"3.15"	
"-0.1199998"	"0"	"0"	"0"	"1.121204"	"0.2400001"	"-3"	"0.4079993"	"1.027304"	"0.3999994"	"3.15"	
"-0.03999984"	"1"	"0"	"0"	"0"	"0.3"	"-3"	"0.4159993"	"1.090304"	"0.3999994"	"3.15"	
"0.04000016"	"1"	"0"	"0"	"0.02180195"	"0.36"	"-3"	"0.4239993"	"1.153304"	"0.3999994"	"3.15"	
"0.2000002"	"1"	"0"	"0"	"0.04327202"	"0.48"	"-3"	"0.4399993"	"1.279304"	"0.3999994"	"3.15"	
