MyPaddlePosition	MyPaddleVelocity	MyPaddleTimeAsIs	OpponentPaddle	OpponentVelocity	BallPositionX	BallPositionY	BallVelocityX	BallVelocityY	
"1"	"0"	"1.204839"	"-1"	"0"	"0"	"-0.24"	"0"	"-3"	
"1"	"0"	"1.224112"	"-1"	"0"	"0"	"-0.3"	"0"	"-3"	
"1"	"0"	"1.24453"	"-1"	"0"	"0"	"-0.36"	"0"	"-3"	
"1"	"0"	"1.264639"	"-1"	"0"	"0"	"-0.42"	"0"	"-3"	
"1"	"0"	"1.284102"	"-1"	"0"	"0"	"-0.48"	"0"	"-3"	
"1"	"0"	"1.305508"	"-1"	"0"	"0"	"-0.54"	"0"	"-3"	
"1"	"0"	"1.325459"	"-1"	"0"	"0"	"-0.6"	"0"	"-3"	
"1"	"0"	"1.34551"	"-1"	"0"	"0"	"-0.66"	"0"	"-3"	
"1"	"0"	"1.365558"	"-1"	"0"	"0"	"-0.72"	"0"	"-3"	
"1"	"0"	"1.385133"	"-1"	"0"	"0"	"-0.78"	"0"	"-3"	
"1"	"0"	"1.404692"	"-1"	"0"	"0"	"-0.84"	"0"	"-3"	
"1"	"0"	"1.424498"	"-1"	"0"	"0"	"-0.9"	"0"	"-3"	
"1"	"0"	"1.447119"	"-1"	"0"	"0"	"-0.96"	"0"	"-3"	
"1"	"0"	"1.469908"	"-1"	"0"	"0"	"-1.02"	"0"	"-3"	
"1"	"0"	"1.489474"	"-1"	"0"	"0"	"-1.08"	"0"	"-3"	
"1"	"0"	"1.508553"	"-1"	"0"	"0"	"-1.14"	"0"	"-3"	
"1"	"0"	"1.53107"	"-1"	"0"	"0"	"-1.2"	"0"	"-3"	
"1"	"0"	"1.553583"	"-1"	"0"	"0"	"-1.26"	"0"	"-3"	
"1"	"0"	"1.572813"	"-1"	"0"	"0"	"-1.32"	"0"	"-3"	
"1"	"0"	"1.592349"	"-1"	"0"	"0"	"-1.38"	"0"	"-3"	
"1"	"0"	"1.612948"	"-1"	"0"	"0"	"-1.44"	"0"	"-3"	
"1"	"0"	"1.632525"	"-1"	"0"	"0"	"-1.5"	"0"	"-3"	
"1"	"0"	"1.651979"	"-1"	"0"	"0"	"-1.559999"	"0"	"-3"	
"1"	"0"	"1.674581"	"-1"	"0"	"0"	"-1.619999"	"0"	"-3"	
"1"	"0"	"1.693712"	"-1"	"0"	"0"	"-1.679999"	"0"	"-3"	
"1"	"0"	"1.71316"	"-1"	"0"	"0"	"-1.739999"	"0"	"-3"	
"1"	"0"	"1.733327"	"-1"	"0"	"0"	"-1.799999"	"0"	"-3"	
"1"	"0"	"1.75291"	"-1"	"0"	"0"	"-1.859999"	"0"	"-3"	
"1"	"0"	"1.772499"	"-1"	"0"	"0"	"-1.919999"	"0"	"-3"	
"1"	"0"	"1.791612"	"-1"	"0"	"0"	"-1.979999"	"0"	"-3"	
"1"	"0"	"1.810704"	"-1"	"0"	"0"	"-2.039999"	"0"	"-3"	
"1"	"0"	"1.830352"	"-1"	"0"	"0"	"-2.099999"	"0"	"-3"	
"1"	"0"	"1.850729"	"-1"	"0"	"0"	"-2.159999"	"0"	"-3"	
"1"	"0"	"1.870648"	"-1"	"0"	"0"	"-2.219999"	"0"	"-3"	
"1"	"0"	"1.891584"	"-1"	"0"	"0"	"-2.279999"	"0"	"-3"	
"1"	"0"	"1.912013"	"-1"	"0"	"0"	"-2.339999"	"0"	"-3"	
"1"	"0"	"1.934187"	"-1"	"0"	"0"	"0"	"0"	"-3"	
"1"	"0"	"1.956915"	"-1"	"0"	"0"	"-0.06"	"0"	"-3"	
"1"	"0"	"1.98029"	"-1"	"0"	"0"	"-0.18"	"0"	"-3"	
"1"	"0"	"2.002882"	"-1"	"0"	"0"	"-0.24"	"0"	"-3"	
"1"	"0"	"2.02994"	"-1"	"0"	"0"	"-0.3"	"0"	"-3"	
"1"	"0"	"2.051806"	"-1"	"0"	"0"	"-0.36"	"0"	"-3"	
"1"	"0"	"2.072282"	"-1"	"0"	"0"	"-0.42"	"0"	"-3"	
"1"	"0"	"2.093368"	"-1"	"0"	"0"	"-0.48"	"0"	"-3"	
"0.92"	"-4"	"0"	"-0.94"	"-3"	"0"	"-0.6"	"0"	"-3"	
"0.84"	"-4"	"0.02015591"	"-0.88"	"-3"	"0"	"-0.66"	"0"	"-3"	
"0.7600001"	"-4"	"0.04057121"	"-0.82"	"-3"	"0"	"-0.72"	"0"	"-3"	
"0.6800001"	"-4"	"0.06030273"	"-0.76"	"-3"	"0"	"-0.78"	"0"	"-3"	
"0.6000001"	"-4"	"0.08185196"	"-0.7"	"-3"	"0"	"-0.84"	"0"	"-3"	
"0.5200001"	"-4"	"0.1029148"	"-0.64"	"-3"	"0"	"-0.9"	"0"	"-3"	
"0.4400001"	"-4"	"0.1243229"	"-0.58"	"-3"	"0"	"-0.96"	"0"	"-3"	
"0.3600001"	"-4"	"0.1434879"	"-0.52"	"-3"	"0"	"-1.02"	"0"	"-3"	
