MyPaddlePosition	MyPaddleVelocity	PreviousPaddleVelocity	OpponentPaddle	OpponentVelocity	BallPositionX	BallPositionY	BallVelocityX	BallVelocityY	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.48"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.6"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.66"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.72"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.78"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.84"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.96"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.02"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.08"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.14"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.2"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.26"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.32"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.44"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.5"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.559999"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.619999"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.679999"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.739999"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.799999"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.919999"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.979999"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-2.039999"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-2.099999"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-2.159999"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-2.219999"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-2.279999"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.06"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.12"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.18"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.24"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.3"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.36"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.42"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.54"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.6"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.66"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.72"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.78"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.84"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.9"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-0.96"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.02"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.08"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.14"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.2"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.26"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.32"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.38"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.44"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.5"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.559999"	"0"	"-3"	
"-0.78"	"0"	"0"	"0"	"0"	"0"	"-1.619999"	"0"	"-3"	
