MyPaddlePosition	MyPaddleIsRight	MyPaddleIsLeft	MyPaddleIsStill	MyPaddleTimeAsIs	OpponentPaddle	OpponentVelocity	BallPositionX	BallPositionY	BallVelocityX	BallVelocityY	
"-1"	"0"	"0"	"1"	"2.608159"	"1"	"0"	"0"	"-0.48"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.653075"	"1"	"0"	"0"	"-0.6"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.664726"	"1"	"0"	"0"	"-0.66"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.679991"	"1"	"0"	"0"	"-0.66"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.713207"	"1"	"0"	"0"	"-0.78"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.723134"	"1"	"0"	"0"	"-0.84"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.733955"	"1"	"0"	"0"	"-0.84"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.744299"	"1"	"0"	"0"	"-0.9"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.754145"	"1"	"0"	"0"	"-0.9"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.764882"	"1"	"0"	"0"	"-0.96"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.775892"	"1"	"0"	"0"	"-0.96"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.786657"	"1"	"0"	"0"	"-1.02"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.797621"	"1"	"0"	"0"	"-1.02"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.808568"	"1"	"0"	"0"	"-1.08"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.819461"	"1"	"0"	"0"	"-1.08"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.83048"	"1"	"0"	"0"	"-1.14"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.841258"	"1"	"0"	"0"	"-1.2"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.85283"	"1"	"0"	"0"	"-1.2"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.864882"	"1"	"0"	"0"	"-1.26"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.876247"	"1"	"0"	"0"	"-1.26"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.885946"	"1"	"0"	"0"	"-1.32"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.896372"	"1"	"0"	"0"	"-1.32"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.905689"	"1"	"0"	"0"	"-1.38"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.91531"	"1"	"0"	"0"	"-1.38"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.943478"	"1"	"0"	"0"	"-1.5"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.959935"	"1"	"0"	"0"	"-1.5"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.970246"	"1"	"0"	"0"	"-1.559999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.979612"	"1"	"0"	"0"	"-1.559999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.989652"	"1"	"0"	"0"	"-1.619999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"2.999888"	"1"	"0"	"0"	"-1.619999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.009569"	"1"	"0"	"0"	"-1.679999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.019302"	"1"	"0"	"0"	"-1.679999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.029018"	"1"	"0"	"0"	"-1.739999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.038961"	"1"	"0"	"0"	"-1.739999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.057974"	"1"	"0"	"0"	"-1.799999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.069062"	"1"	"0"	"0"	"-1.859999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.078467"	"1"	"0"	"0"	"-1.859999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.100033"	"1"	"0"	"0"	"-1.919999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.114014"	"1"	"0"	"0"	"-1.979999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.12502"	"1"	"0"	"0"	"-2.039999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.135726"	"1"	"0"	"0"	"-2.039999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.145228"	"1"	"0"	"0"	"-2.099999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.155306"	"1"	"0"	"0"	"-2.099999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.165065"	"1"	"0"	"0"	"-2.159999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.175275"	"1"	"0"	"0"	"-2.159999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.185907"	"1"	"0"	"0"	"-2.219999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.197233"	"1"	"0"	"0"	"-2.219999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.21556"	"1"	"0"	"0"	"-2.279999"	"0"	"-3"	
"-1"	"0"	"0"	"1"	"3.234209"	"1"	"0"	"0"	"-2.339999"	"0"	"-3"	
"-1.08"	"0"	"1"	"0"	"0"	"1"	"0"	"0"	"0"	"0"	"0"	
"-1.08"	"0"	"1"	"0"	"0.01111507"	"1"	"0"	"0"	"0"	"0"	"-3"	
"-1.16"	"0"	"1"	"0"	"0.02618217"	"1"	"0"	"0"	"-0.06"	"0"	"-3"	
"-1.24"	"0"	"1"	"0"	"0.03981495"	"1"	"0"	"0"	"-0.12"	"0"	"-3"	
"-1.24"	"0"	"1"	"0"	"0.05069447"	"1"	"0"	"0"	"-0.12"	"0"	"-3"	
"-1.32"	"0"	"1"	"0"	"0.06062508"	"1"	"0"	"0"	"-0.18"	"0"	"-3"	
"-1.32"	"0"	"1"	"0"	"0.07048416"	"1"	"0"	"0"	"-0.18"	"0"	"-3"	
"-1.4"	"0"	"1"	"0"	"0.08184242"	"1"	"0"	"0"	"-0.24"	"0"	"-3"	
"-1.48"	"0"	"1"	"0"	"0.09298229"	"1"	"0"	"0"	"-0.3"	"0"	"-3"	
"-1.48"	"0"	"1"	"0"	"0.103014"	"1"	"0"	"0"	"-0.3"	"0"	"-3"	
"-1.56"	"0"	"1"	"0"	"0.1137772"	"1"	"0"	"0"	"-0.36"	"0"	"-3"	
"-1.56"	"0"	"1"	"0"	"0.1254101"	"1"	"0"	"0"	"-0.36"	"0"	"-3"	
"-1.64"	"0"	"1"	"0"	"0.1389294"	"1"	"0"	"0"	"-0.42"	"0"	"-3"	
"-1.72"	"0"	"1"	"0"	"0.1528645"	"1"	"0"	"0"	"-0.48"	"0"	"-3"	
"-1.72"	"0"	"1"	"0"	"0.1618137"	"1"	"0"	"0"	"-0.48"	"0"	"-3"	
"-1.72"	"0"	"1"	"0"	"0.1715851"	"1"	"0"	"0"	"-0.48"	"0"	"-3"	
"-1.8"	"0"	"1"	"0"	"0.2022877"	"1"	"0"	"0"	"-0.54"	"0"	"-3"	
"-1.960001"	"0"	"1"	"0"	"0.2216177"	"0.88"	"3"	"0"	"-0.66"	"0"	"-3"	
"-1.960001"	"0"	"1"	"0"	"0.2309856"	"0.88"	"3"	"0"	"-0.66"	"0"	"-3"	
"-2.04"	"0"	"1"	"0"	"0.2404852"	"0.82"	"3"	"0"	"-0.72"	"0"	"-3"	
"-2.04"	"0"	"1"	"0"	"0.2508144"	"0.82"	"3"	"0"	"-0.72"	"0"	"-3"	
"-2.12"	"0"	"1"	"0"	"0.2622519"	"0.76"	"3"	"0"	"-0.78"	"0"	"-3"	
"-2.094175"	"0"	"0"	"1"	"0"	"0.7"	"3"	"0"	"-0.84"	"0"	"-3"	
"-2.094175"	"0"	"1"	"0"	"0"	"0.7"	"3"	"0"	"-0.84"	"0"	"-3"	
"-2.090872"	"0"	"0"	"1"	"0"	"0.64"	"3"	"0"	"-0.9"	"0"	"-3"	
"-2.090872"	"0"	"1"	"0"	"0"	"0.64"	"3"	"0"	"-0.9"	"0"	"-3"	
"-2.088758"	"0"	"0"	"1"	"0"	"0.58"	"3"	"0"	"-0.96"	"0"	"-3"	
"-2.088758"	"0"	"1"	"0"	"0"	"0.58"	"3"	"0"	"-0.96"	"0"	"-3"	
"-2.087405"	"0"	"1"	"0"	"0.01787376"	"0.52"	"3"	"0"	"-1.02"	"0"	"-3"	
"-2.087405"	"0"	"1"	"0"	"0.02733994"	"0.52"	"3"	"0"	"-1.02"	"0"	"-3"	
"-2.086539"	"0"	"0"	"1"	"0"	"0.46"	"3"	"0"	"-1.08"	"0"	"-3"	
"-2.086539"	"0"	"1"	"0"	"0"	"0.46"	"3"	"0"	"-1.08"	"0"	"-3"	
"-2.085985"	"0"	"0"	"1"	"0"	"0.4"	"3"	"0"	"-1.14"	"0"	"-3"	
"-2.085985"	"0"	"1"	"0"	"0"	"0.4"	"3"	"0"	"-1.14"	"0"	"-3"	
"-2.085631"	"0"	"0"	"1"	"0"	"0.34"	"3"	"0"	"-1.2"	"0"	"-3"	
"-2.085631"	"0"	"1"	"0"	"0"	"0.34"	"3"	"0"	"-1.2"	"0"	"-3"	
"-2.085404"	"0"	"0"	"1"	"0"	"0.28"	"3"	"0"	"-1.26"	"0"	"-3"	
"-2.085404"	"0"	"1"	"0"	"0"	"0.28"	"3"	"0"	"-1.26"	"0"	"-3"	
"-2.085258"	"0"	"0"	"1"	"0"	"0.22"	"3"	"0"	"-1.32"	"0"	"-3"	
"-2.085258"	"0"	"1"	"0"	"0"	"0.22"	"3"	"0"	"-1.32"	"0"	"-3"	
"-2.085165"	"0"	"0"	"1"	"0"	"0.16"	"3"	"0"	"-1.38"	"0"	"-3"	
"-2.085165"	"0"	"1"	"0"	"0"	"0.16"	"3"	"0"	"-1.38"	"0"	"-3"	
"-2.085106"	"0"	"1"	"0"	"0.018466"	"0.09999996"	"3"	"0"	"-1.44"	"0"	"-3"	
"-2.085068"	"0"	"0"	"1"	"0"	"0.03999997"	"3"	"0"	"-1.5"	"0"	"-3"	
"-2.085068"	"0"	"1"	"0"	"0"	"0.03999997"	"3"	"0"	"-1.5"	"0"	"-3"	
"-2.085043"	"0"	"1"	"0"	"0.0187273"	"-0.02000003"	"3"	"0"	"-1.559999"	"0"	"-3"	
"-2.085028"	"0"	"0"	"1"	"0"	"-0.08000003"	"3"	"0"	"-1.619999"	"0"	"-3"	
"-2.005028"	"1"	"0"	"0"	"0"	"-0.14"	"3"	"0"	"-1.679999"	"0"	"-3"	
"-2.005028"	"1"	"0"	"0"	"0.009923935"	"-0.14"	"3"	"0"	"-1.679999"	"0"	"-3"	
"-1.925028"	"1"	"0"	"0"	"0.02839756"	"-0.2"	"3"	"0"	"-1.739999"	"0"	"-3"	
"-1.845028"	"1"	"0"	"0"	"0.04117584"	"-0.26"	"0"	"0"	"-1.799999"	"0"	"-3"	
"-1.845028"	"1"	"0"	"0"	"0.05195332"	"-0.26"	"0"	"0"	"-1.799999"	"0"	"-3"	
"-1.765028"	"1"	"0"	"0"	"0.06165218"	"-0.26"	"0"	"0"	"-1.859999"	"0"	"-3"	
"-1.765028"	"1"	"0"	"0"	"0.07203293"	"-0.26"	"0"	"0"	"-1.859999"	"0"	"-3"	
"-1.685028"	"1"	"0"	"0"	"0.08241177"	"-0.26"	"0"	"0"	"-1.919999"	"0"	"-3"	
"-1.685028"	"1"	"0"	"0"	"0.09272671"	"-0.26"	"0"	"0"	"-1.919999"	"0"	"-3"	
"-1.605028"	"1"	"0"	"0"	"0.1034765"	"-0.26"	"0"	"0"	"-1.979999"	"0"	"-3"	
"-1.605028"	"1"	"0"	"0"	"0.1137066"	"-0.26"	"0"	"0"	"-1.979999"	"0"	"-3"	
"-1.525028"	"1"	"0"	"0"	"0.1325512"	"-0.26"	"0"	"0"	"-2.039999"	"0"	"-3"	
"-1.445027"	"1"	"0"	"0"	"0.1507311"	"-0.26"	"0"	"0"	"-2.099999"	"0"	"-3"	
"-1.365027"	"1"	"0"	"0"	"0.1599922"	"-0.26"	"0"	"0"	"-2.159999"	"0"	"-3"	
"-1.365027"	"1"	"0"	"0"	"0.1705208"	"-0.26"	"0"	"0"	"-2.159999"	"0"	"-3"	
"-1.285027"	"1"	"0"	"0"	"0.1822481"	"-0.26"	"0"	"0"	"-2.219999"	"0"	"-3"	
"-1.285027"	"1"	"0"	"0"	"0.196084"	"-0.26"	"0"	"0"	"-2.219999"	"0"	"-3"	
"-1.205027"	"1"	"0"	"0"	"0.2059345"	"-0.26"	"0"	"0"	"-2.279999"	"0"	"-3"	
"-1.205027"	"1"	"0"	"0"	"0.2151184"	"-0.26"	"0"	"0"	"-2.279999"	"0"	"-3"	
