MyPaddlePosition	MyPaddleIsRight	MyPaddleIsLeft	MyPaddleIsStill	MyPaddleTimeAsIs	OpponentPaddle	OpponentVelocity	BallPositionX	BallPositionY	BallVelocityX	BallVelocityY	
"1"	"0"	"0"	"1"	"2.129721"	"1"	"0"	"0"	"-0.42"	"0"	"-3"	
"1"	"0"	"0"	"1"	"2.234946"	"1"	"0"	"0"	"-0.72"	"0"	"-3"	
"1"	"0"	"0"	"1"	"2.336785"	"1"	"0"	"0"	"-1.02"	"0"	"-3"	
"1"	"0"	"0"	"1"	"2.439623"	"1"	"0"	"0"	"-1.32"	"0"	"-3"	
"1"	"0"	"0"	"1"	"2.545999"	"1"	"0"	"0"	"-1.679999"	"0"	"-3"	
"1"	"0"	"0"	"1"	"2.649869"	"1"	"0"	"0"	"-1.979999"	"0"	"-3"	
"1"	"0"	"0"	"1"	"2.753711"	"1"	"0"	"0"	"-2.279999"	"0"	"-3"	
"1"	"0"	"0"	"1"	"2.855863"	"1"	"0"	"0"	"-0.18"	"0"	"-3"	
"1"	"0"	"0"	"1"	"2.967817"	"1"	"0"	"0"	"-0.54"	"0"	"-3"	
"0.6000001"	"0"	"1"	"0"	"0"	"0.7"	"3"	"0"	"-0.84"	"0"	"-3"	
"0.2000002"	"0"	"1"	"0"	"0.1047726"	"0.4"	"3"	"0"	"-1.14"	"0"	"-3"	
"-0.1999998"	"0"	"1"	"0"	"0.2055368"	"0.09999996"	"3"	"0"	"-1.44"	"0"	"-3"	
"-0.1999998"	"0"	"0"	"1"	"0"	"-0.2"	"3"	"0"	"-1.739999"	"0"	"-3"	
"-0.1999998"	"1"	"0"	"0"	"0"	"-0.2"	"0"	"0"	"-2.039999"	"0"	"-3"	
"0.1424538"	"0"	"0"	"1"	"0"	"-0.2"	"0"	"0.007233638"	"-2.059694"	"-0.06719179"	"3.15"	
"0.1424538"	"0"	"0"	"1"	"0.1019459"	"-0.2"	"0"	"0.0005144596"	"-1.744694"	"-0.06719179"	"3.15"	
"0.06245385"	"0"	"1"	"0"	"0"	"-0.2"	"0"	"-0.007548554"	"-1.366695"	"-0.06719179"	"3.15"	
"-0.2575461"	"0"	"0"	"1"	"0"	"-0.14"	"-3"	"-0.01426773"	"-1.051695"	"-0.06719179"	"3.15"	
"-0.2575461"	"0"	"0"	"1"	"0.1043892"	"0.16"	"0"	"-0.02098691"	"-0.7366951"	"-0.06719179"	"3.15"	
"-0.2575461"	"1"	"0"	"0"	"0"	"0.16"	"0"	"-0.02770609"	"-0.4216952"	"-0.06719179"	"3.15"	
"0.1424539"	"0"	"0"	"1"	"0"	"0.16"	"0"	"-0.0357691"	"-0.04369521"	"-0.06719179"	"3.15"	
"0.1424539"	"0"	"0"	"1"	"0.1247168"	"0.16"	"0"	"-0.04383211"	"0.3343047"	"-0.06719179"	"3.15"	
"-0.01754613"	"0"	"1"	"0"	"0"	"0.16"	"0"	"-0.05055128"	"0.6493046"	"-0.06719179"	"3.15"	
"-0.2575461"	"0"	"0"	"1"	"0"	"0.03999997"	"3"	"-0.05727046"	"0.9643044"	"-0.06719179"	"3.15"	
"-0.2575461"	"0"	"0"	"1"	"0.1066408"	"-0.14"	"0"	"-0.06398964"	"1.279304"	"-0.06719179"	"3.15"	
"-0.01754613"	"1"	"0"	"0"	"0"	"-0.14"	"0"	"-0.07205267"	"1.657304"	"-0.06719179"	"3.15"	
"0.2224539"	"0"	"0"	"1"	"0"	"-0.14"	"0"	"-0.07877187"	"1.972304"	"-0.06719179"	"3.15"	
"0.2224539"	"0"	"0"	"1"	"0.1036692"	"-0.1390156"	"-0.0335959"	"-0.10008"	"2.119561"	"-0.8122657"	"-3.3075"	
"0.06245387"	"0"	"1"	"0"	"0"	"-0.135656"	"-0.0335959"	"-0.1813065"	"1.788811"	"-0.8122657"	"-3.3075"	
"-0.3375461"	"0"	"1"	"0"	"0.1025696"	"0.04568789"	"-3"	"-0.2625331"	"1.458061"	"-0.8122657"	"-3.3075"	
"-0.5775461"	"0"	"0"	"1"	"0"	"0.3456879"	"-3"	"-0.3437596"	"1.127312"	"-0.8122657"	"-3.3075"	
"-0.5775461"	"0"	"0"	"1"	"0.1031723"	"0.6456879"	"-3"	"-0.4249861"	"0.7965617"	"-0.8122657"	"-3.3075"	
"-0.3375461"	"1"	"0"	"0"	"0"	"0.8256879"	"0"	"-0.522458"	"0.3996617"	"-0.8122657"	"-3.3075"	
"-0.1775461"	"0"	"0"	"1"	"0"	"0.8256879"	"0"	"-0.6036845"	"0.06891166"	"-0.8122657"	"-3.3075"	
"-0.1775461"	"0"	"0"	"1"	"0.1073685"	"0.8256879"	"0"	"-0.684911"	"-0.2618383"	"-0.8122657"	"-3.3075"	
"-0.3375461"	"0"	"1"	"0"	"0"	"0.8256879"	"0"	"-0.7661375"	"-0.5925884"	"-0.8122657"	"-3.3075"	
"-0.817546"	"0"	"1"	"0"	"0.1028624"	"0.8256879"	"0"	"-0.8636094"	"-0.9894884"	"-0.8122657"	"-3.3075"	
"-0.977546"	"0"	"0"	"1"	"0"	"0.8256879"	"0"	"-0.9448359"	"-1.320238"	"-0.8122657"	"-3.3075"	
"-0.977546"	"0"	"0"	"1"	"0.1035786"	"0.8256879"	"0"	"-1.026062"	"-1.650988"	"-0.8122657"	"-3.3075"	
"-1.217546"	"0"	"1"	"0"	"0"	"0.8256879"	"0"	"-1.107289"	"-1.981738"	"-0.8122657"	"-3.3075"	
"-1.481914"	"0"	"1"	"0"	"0"	"0.8256879"	"0"	"-1.156436"	"-2.041531"	"0.1928037"	"3.472875"	
"-1.522528"	"0"	"1"	"0"	"0.1003361"	"0.8256879"	"0"	"-1.137156"	"-1.694243"	"0.1928037"	"3.472875"	
"-1.298773"	"1"	"0"	"0"	"0"	"1.125688"	"-3"	"-1.117875"	"-1.346956"	"0.1928037"	"3.472875"	
"-0.8987728"	"1"	"0"	"0"	"0.1015081"	"1.425687"	"-3"	"-1.098595"	"-0.9996682"	"0.1928037"	"3.472875"	
"-0.7387729"	"0"	"0"	"1"	"0"	"1.425687"	"0"	"-1.079315"	"-0.6523808"	"0.1928037"	"3.472875"	
"-0.7387729"	"0"	"0"	"1"	"0.1051035"	"1.425687"	"0"	"-1.060034"	"-0.3050934"	"0.1928037"	"3.472875"	
"-1.058773"	"0"	"1"	"0"	"0"	"1.425687"	"0"	"-1.036898"	"0.1116516"	"0.1928037"	"3.472875"	
"-1.138773"	"0"	"0"	"1"	"0"	"1.425687"	"0"	"-1.017618"	"0.4589391"	"0.1928037"	"3.472875"	
"-1.138773"	"0"	"0"	"1"	"0.1020565"	"1.365687"	"3"	"-0.9983374"	"0.8062265"	"0.1928037"	"3.472875"	
"-0.8987728"	"1"	"0"	"0"	"0"	"1.065688"	"3"	"-0.9790571"	"1.153514"	"0.1928037"	"3.472875"	
